2025-05-26 14:46:18.4569 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 6 
2025-05-26 14:46:18.5515 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 6 
2025-05-26 14:46:18.6490 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-26 14:46:18.7554 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 14:46:18.8507 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 5 usuarios 
2025-05-26 14:46:18.9484 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 3 productos 
2025-05-26 14:46:24.6048 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-26 14:46:24.7046 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 3 productos 
2025-05-26 15:02:36.0776 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-26 15:02:36.3657 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-26 15:02:36.3657 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-26 15:02:41.5140 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-26 15:02:41.5179 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = Oscar 
2025-05-26 15:02:41.5179 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Contrasena = 123 
2025-05-26 15:02:41.6859 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-26 15:02:41.8375 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 15:02:41.9398 | INFO | InvSis.Data.UsuariosDataAccess | Usuario Oscar autenticado correctamente 
2025-05-26 15:02:42.0397 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 6 roles de la base de datos 
2025-05-26 15:02:42.0397 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 15:02:44.7927 | INFO | InvSis.Data.BitacoraDataAccess | BitacoraDataAccess inicializado correctamente 
2025-05-26 15:02:44.8980 | INFO | InvSis.Data.BitacoraDataAccess | Se obtuvieron 0 registros filtrados de bitácora 
2025-05-26 15:02:47.6782 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @FechaInicio = 26/04/2025 12:00:00 a. m. 
2025-05-26 15:02:47.6782 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @FechaFin = 26/05/2025 12:00:00 a. m. 
2025-05-26 15:02:47.7806 | INFO | InvSis.Data.BitacoraDataAccess | Se obtuvieron 0 registros filtrados de bitácora 
2025-05-26 15:03:06.3943 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-26 15:03:06.6576 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-26 15:03:06.6576 | INFO | InvSis.Data.MovimientoProductoDataAccess | MovimientoProductoDataAccess inicializado correctamente 
2025-05-26 15:03:06.6576 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
