2025-05-23 00:07:29.3298 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-23 00:07:29.5635 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-23 00:07:29.5635 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-23 00:07:30.8732 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-23 00:07:31.0916 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
2025-05-23 00:07:32.8945 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-23 00:07:35.0109 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-23 00:07:36.4250 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-23 00:07:37.6073 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 19 permisos de la base de datos 
2025-05-23 00:07:38.8511 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 3 roles de la base de datos 
2025-05-23 00:07:38.8635 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:07:39.2138 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 16 permisos de la base de datos 
2025-05-23 00:07:39.2138 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:07:39.4011 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:07:39.7489 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 16 permisos de la base de datos 
2025-05-23 00:07:39.7489 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:07:39.9327 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:07:40.2976 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 16 permisos de la base de datos 
2025-05-23 00:07:40.2976 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:07:47.3062 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-23 00:07:47.4764 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
2025-05-23 00:31:10.7378 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-23 00:31:10.8772 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-23 00:31:10.8772 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-23 00:31:14.5988 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-23 00:31:14.8118 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-23 00:31:16.8281 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-23 00:54:35.2442 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-23 00:54:35.3777 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-23 00:54:35.3777 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-23 00:54:36.6416 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-23 00:54:36.8511 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-23 00:54:37.0196 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 3 roles de la base de datos 
2025-05-23 00:54:37.1871 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 0 usuarios 
2025-05-23 00:55:10.4352 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-23 00:55:10.6086 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:55:10.7799 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = Oscar 
2025-05-23 00:55:10.9524 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:55:10.9524 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-23 00:55:10.9524 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = Oscar 
2025-05-23 00:55:10.9524 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Contrasena = 123 
2025-05-23 00:55:10.9524 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Estatus = 1 
2025-05-23 00:55:11.1228 | INFO | InvSis.Data.UsuariosDataAccess | Usuario insertado correctamente con ID: 1 
2025-05-23 00:55:13.9291 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-23 00:55:14.1087 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:55:14.2768 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 1 usuarios 
2025-05-23 00:55:52.4168 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-23 00:55:52.5852 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-23 00:55:52.7529 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = nombre jhkjhkh 
2025-05-23 00:55:52.9208 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-23 00:55:52.9208 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-23 00:55:52.9208 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = nombre jhkjhkh 
2025-05-23 00:55:52.9208 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Contrasena = 123 
2025-05-23 00:55:52.9208 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Estatus = 1 
2025-05-23 00:55:53.0901 | INFO | InvSis.Data.UsuariosDataAccess | Usuario insertado correctamente con ID: 2 
2025-05-23 00:55:54.3909 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-23 00:55:54.5589 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-23 00:55:54.7311 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-23 00:55:54.9027 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:55:55.0705 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 2 usuarios 
2025-05-23 00:56:43.0752 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-23 00:57:46.7691 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @NombreCompleto = Gael Garcia Corona 
2025-05-23 00:57:46.7691 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Edad = 22 
2025-05-23 00:57:46.7691 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Sexo = Masculino 
2025-05-23 00:57:46.7691 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nacionalidad = Mexicana 
2025-05-23 00:57:46.9381 | INFO | InvSis.Data.PersonasDataAccess | Persona insertada correctamente con ID: 5 
2025-05-23 00:57:48.6871 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 3 personas de la base de datos 
2025-05-23 00:57:51.2147 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 3 personas de la base de datos 
2025-05-23 00:58:21.7523 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 5 
2025-05-23 00:58:21.9203 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 2 
2025-05-23 00:58:22.0884 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = Gael 
2025-05-23 00:58:22.2563 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 2 
2025-05-23 00:58:22.2563 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 5 
2025-05-23 00:58:22.2563 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = Gael 
2025-05-23 00:58:22.2563 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Contrasena = 123 
2025-05-23 00:58:22.2563 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Estatus = 1 
2025-05-23 00:58:22.4320 | INFO | InvSis.Data.UsuariosDataAccess | Usuario insertado correctamente con ID: 3 
2025-05-23 00:58:23.6419 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 5 
2025-05-23 00:58:23.8144 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 2 
2025-05-23 00:58:23.9832 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-23 00:58:24.1512 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-23 00:58:24.3197 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-23 00:58:24.4876 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-23 00:58:24.6578 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 3 usuarios 
2025-05-23 00:59:05.4551 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-23 00:59:05.6235 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 3 personas de la base de datos 
2025-05-23 00:59:05.7909 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 3 roles de la base de datos 
2025-05-23 00:59:05.9607 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 5 
2025-05-23 00:59:06.1304 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 2 
